destino,distancia,ida,numpassagens,qtdiarias,requisicao,solicitante,valor,volta
"Lisboa - PORTUGAL, Varese - ITALIA",8800.494803099738,2016-11-19,6,6.0,93599,ALOISIO TALSO CLASSMANN,8970.72,2016-11-27
"Lisboa - PORTUGAL, Varese - ITALIA",12046.645075513567,2016-11-28,1,0.5,94082,ALOISIO TALSO CLASSMANN,705.02,2016-11-28
Montevideo - URUGUAI,1428.1839660559774,2016-07-25,2,2.0,92030,ALVARO DAVI BOESSIO,1950.36,2016-07-27
"Chongqing - CHINA, Taipei - CHINA, NEW York - ESTADOS UNIDOS DA AMERICA",27643.780417997554,2016-11-07,2,10.0,93791,ANY MACHADO ORTIZ,14390.0,2016-11-17
Chicago - ESTADOS UNIDOS DA AMERICA,17646.626525046093,2016-08-05,8,4.0,92082,CIRO CARLOS EMERIM SIMONI,5255.68,2016-08-13
Delhi - INDIA,30118.90519395852,2016-11-04,6,8.0,93633,EDSON MEURER BRUM,11704.32,2016-11-12
Buenos Aires - ARGENTINA,1693.1524968020474,2016-05-18,1,3.0,90707,ENIO EGON BERGMANN BACCI,3193.65,2016-05-21
"Buenos Aires - ARGENTINA, buenos aires - ARGENTINA",1693.1524968020474,2016-05-23,1,0.5,90707,ENIO EGON BERGMANN BACCI,532.28,2016-05-23
"PUNTA DEL ESTE - URUGUAI, MONTEVIDEO - URUGUAI",1363.4925609664172,2016-04-07,0,2.0,89677,FREDERICO CANTORI ANTUNES,2124.0,2016-04-09
MONTEVIDEO - URUGUAI,1428.1839660559774,2016-07-25,2,2.0,92251,FREDERICO CANTORI ANTUNES,1959.36,2016-07-27
PARIS - FRANCA,20508.859278796328,2016-10-15,2,5.0,93148,FREDERICO CANTORI ANTUNES,7243.2,2016-10-20
MONTEVIDEO - URUGUAI,1428.1839660559774,2016-11-12,2,4.0,93465,FREDERICO CANTORI ANTUNES,3845.64,2016-11-16
MONTEVIDEO - URUGUAI,1428.1839660559774,2016-11-03,2,4.0,93653,GILBERTO CAPOANI,3842.16,2016-11-07
NEW YORK - ESTADOS UNIDOS DA AMERICA,17033.985944223434,2016-03-13,3,3.0,88697,JOAO EDEGAR PRETTO,4727.28,2016-03-16
BUENOS AIRES - ARGENTINA,1693.1524968020474,2016-08-15,2,3.0,92423,JOAO ERVINO FISCHER,2834.73,2016-08-18
