ano,dep,link,quantidade,recolhidas,valor
2015,IDIVAR FRANCISCO APPIO,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2542/ano/2015/tipo/0/Default.aspx,1.5,0.0,699.15
2015,JEFERSON OLIVEIRA FERNANDES,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2318/ano/2015/tipo/0/Default.aspx,32.5,0.0,20308.11
2015,JOAO EDEGAR PRETTO,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2333/ano/2015/tipo/0/Default.aspx,51.5,0.0,33052.59
2015,JOAO ERVINO FISCHER,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2546/ano/2015/tipo/0/Default.aspx,50.5,0.0,41044.25
2015,JOÃO OTÁVIO REINELLI,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17217/ano/2015/tipo/0/Default.aspx,45.0,0.0,36717.3
2015,JORGE CLADISTONE POZZOBOM,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/14460/ano/2015/tipo/0/Default.aspx,54.0,0.0,36460.25
2015,JOSE ANTONIO JUNIOR FROZZA PALADINI,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/14471/ano/2015/tipo/0/Default.aspx,52.5,0.0,38273.09
2015,JOSE FRANCISCO SOARES SPEROTTO,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2446/ano/2015/tipo/0/Default.aspx,7.0,0.0,3262.7
2015,JOSÉ SIDNEY NUNES DE ALMEIDA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17221/ano/2015/tipo/0/Default.aspx,19.5,0.0,12184.94
2015,JULIANA BRIZOLA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2459/ano/2015/tipo/0/Default.aspx,19.5,0.0,11483.4
2015,JULIANO ROSO,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17216/ano/2015/tipo/0/Default.aspx,53.5,0.0,33298.36
2015,JUNIOR CARLOS PIAIA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/6207/ano/2015/tipo/0/Default.aspx,6.0,0.0,3533.4
2015,LIZIANE BAYER DA COSTA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17227/ano/2015/tipo/0/Default.aspx,29.5,0.0,17995.86
2015,LUIS AUGUSTO BARCELLOS LARA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2559/ano/2015/tipo/0/Default.aspx,53.0,0.0,33961.33
2015,LUIZ FERNANDO MAINARDI,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/14467/ano/2015/tipo/0/Default.aspx,57.5,4.0,36241.31
2015,MANUELA PINTO VIEIRA D' AVILA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17213/ano/2015/tipo/0/Default.aspx,6.0,0.0,4001.01
2015,MARCELO PIRES MORAES,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/14457/ano/2015/tipo/0/Default.aspx,53.0,0.0,31539.77
2015,MÁRIO JARDEL ALMEIDA RIBEIRO,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17225/ano/2015/tipo/0/Default.aspx,34.0,0.0,32133.87
2015,MARISA VIRGINIA FORMOLO DALLA VECCHIA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/11417/ano/2015/tipo/0/Default.aspx,2.5,0.0,1473.7
2015,MARLON ARATOR SANTOS DA ROSA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/6877/ano/2015/tipo/0/Default.aspx,27.0,0.0,15900.16
2015,MAURICIO ALEXANDRE DZIEDRICKI,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2973/ano/2015/tipo/0/Default.aspx,39.0,0.0,23824.2
2015,MIGUEL CONSTANTINO ROSSO BIANCHINI,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17222/ano/2015/tipo/0/Default.aspx,26.0,0.0,15701.01
2015,MIRIAM PAZ GARCEZ MARRONI,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/9792/ano/2015/tipo/0/Default.aspx,25.0,0.0,15348.01
2015,NELSON LUIZ DA SILVA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/14459/ano/2015/tipo/0/Default.aspx,15.5,0.0,9751.4
2015,PAULO ROBERTO DORNELLES BORGES,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/11419/ano/2015/tipo/0/Default.aspx,7.0,0.0,3262.7
2015,PEDRO LUIZ FAGUNDES RUAS,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2879/ano/2015/tipo/0/Default.aspx,3.0,2.5,372.39
2015,PEDRO OZORIO PEREIRA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/8480/ano/2015/tipo/0/Default.aspx,75.0,0.0,44188.25
2015,RAUL JORGE ANGLADA PONT,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/6903/ano/2015/tipo/0/Default.aspx,2.5,0.0,1473.7
2015,REGINA MARIA BECKER,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/8475/ano/2015/tipo/0/Default.aspx,37.5,0.0,27760.22
2015,RONALDO SANTINI,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/14461/ano/2015/tipo/0/Default.aspx,68.5,0.0,42670.43
2015,SERGIO BERGONSI TURRA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17223/ano/2015/tipo/0/Default.aspx,45.5,0.0,33868.08
2015,SERGIO PERES ALÓS,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/6888/ano/2015/tipo/0/Default.aspx,55.0,0.0,34571.46
2015,SILVANA MARIA FRANCISCATTO COVATTI,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/11422/ano/2015/tipo/0/Default.aspx,69.5,0.0,47332.09
2015,STELA BEATRIZ FARIAS LOPES,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/11423/ano/2015/tipo/0/Default.aspx,27.0,0.0,20197.74
2015,TARCISIO JOÃO ZIMMERMANN,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17215/ano/2015/tipo/0/Default.aspx,14.5,0.0,9318.37
2015,TIAGO CHANAN SIMON,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17229/ano/2015/tipo/0/Default.aspx,3.5,0.0,2061.15
