"mes","solicitante","passagens","combustiveis","diarias","distancia","viagens","dias.fora","gastos.totais"
2016-03-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,3006.89,2650.03,2643.62262588949,5,3,3006.89
2016-04-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,2898.55,588.9,760.264884164176,2,0,2898.55
2016-05-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,3077.01,883.35,863.843516669519,3,0,3077.01
2016-06-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,3091.15,2650.03,2518.51677911454,6,2,3091.15
2016-07-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,3066.8,2650.04,2281.74742282705,7,2,3066.8
2016-08-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,2748.98,1766.68,638.399070307551,3,2,2748.98
2016-09-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,1867.65,588.89,531.639637317722,1,1,1867.65
2016-10-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",6937.19,2228.2,1706.06,7635.59015125831,4,1,9165.39
2016-11-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,2406.61,11776.74,31441.2640686706,3,9,2406.61
2016-12-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,1274.17,1177.8,1803.84092492683,4,0,1274.17
2017-01-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,514.72,0,0,0,0,514.72
2017-02-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,1774.61,1550.19,4668.80692945161,5,0,1774.61
2017-03-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",4044.87,3064.97,3238.93,2508.37986035121,7,4,7109.84
2017-04-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,3003.4,2511.47,5487.69364602562,7,1,3003.4
2017-05-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",4843.01,3090.96,2650.04,2198.22071152341,7,2,7933.97
2017-06-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,2768.11,2061.14,2057.21677311856,6,1,2768.11
2017-07-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,3078.54,1472.24,1999.60834826356,4,1,3078.54
2017-08-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,3090.38,1472.24,1287.01493051635,3,2,3090.38
2017-09-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",5535.49,3091.2,3256.24,4820.39551602451,5,4,8626.69
2017-10-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",3922.72,3091.71,1844.64,5657.3913217434,6,0,7014.43
2017-11-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",701.84,3091.71,1766.7,2862.44101044245,6,0,3793.55
2017-12-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,2997.49,883.35,759.810633538344,3,0,2997.49
2015-02-01,"ALVARO DAVI BOESSIO ",0,1765.88,0,0,0,0,1765.88
2015-03-01,"ALVARO DAVI BOESSIO ",3441.5,2521.35,0,0,0,0,5962.85
2015-04-01,"ALVARO DAVI BOESSIO ",993.36,2497.68,0,0,0,0,3491.04
2015-05-01,"ALVARO DAVI BOESSIO ",2591.46,2627.07,0,0,0,0,5218.53
2015-06-01,"ALVARO DAVI BOESSIO ",1681.36,2655.06,0,0,0,0,4336.42
2015-07-01,"ALVARO DAVI BOESSIO ",0,2095,0,0,0,0,2095
2015-08-01,"ALVARO DAVI BOESSIO ",0,2400.88,0,0,0,0,2400.88
2015-09-01,"ALVARO DAVI BOESSIO ",0,1939.79,0,0,0,0,1939.79
2015-10-01,"ALVARO DAVI BOESSIO ",0,3050.93,0,0,0,0,3050.93
2015-11-01,"ALVARO DAVI BOESSIO ",0,2699.66,0,0,0,0,2699.66
2015-12-01,"ALVARO DAVI BOESSIO ",0,2652.55,0,0,0,0,2652.55
2016-01-01,"ALVARO DAVI BOESSIO ",0,904.18,0,0,0,0,904.18
2016-02-01,"ALVARO DAVI BOESSIO ",0,2803.78,0,0,0,0,2803.78
2016-03-01,"ALVARO DAVI BOESSIO ",0,2991.49,0,0,0,0,2991.49
2016-04-01,"ALVARO DAVI BOESSIO ",0,3091.23,0,0,0,0,3091.23
2016-05-01,"ALVARO DAVI BOESSIO ",3888.46,2767.84,0,0,0,0,6656.3
2016-06-01,"ALVARO DAVI BOESSIO ",0,3090.26,0,0,0,0,3090.26
2016-07-01,"ALVARO DAVI BOESSIO ",0,2984.95,0,0,0,0,2984.95
2016-08-01,"ALVARO DAVI BOESSIO ",0,3032.14,0,0,0,0,3032.14
2016-09-01,"ALVARO DAVI BOESSIO ",5508.75,1798.54,0,0,0,0,7307.29
2016-10-01,"ALVARO DAVI BOESSIO ",8509.07,2513.55,0,0,0,0,11022.62
2016-11-01,"ALVARO DAVI BOESSIO ",2967.25,2226.63,0,0,0,0,5193.88
2016-12-01,"ALVARO DAVI BOESSIO ",0,2857.72,0,0,0,0,2857.72
2017-01-01,"ALVARO DAVI BOESSIO ",0,2585.08,0,0,0,0,2585.08
2017-02-01,"ALVARO DAVI BOESSIO ",0,3053.27,0,0,0,0,3053.27
2017-03-01,"ALVARO DAVI BOESSIO ",1449.33,2360.95,0,0,0,0,3810.28
2017-04-01,"ALVARO DAVI BOESSIO ",5549.9,2604.51,0,0,0,0,8154.41
2017-05-01,"ALVARO DAVI BOESSIO ",3219.09,2487.03,0,0,0,0,5706.12
2017-06-01,"ALVARO DAVI BOESSIO ",2170.66,2647.04,0,0,0,0,4817.7
2017-07-01,"ALVARO DAVI BOESSIO ",5438.56,2829.11,0,0,0,0,8267.67
2017-08-01,"ALVARO DAVI BOESSIO ",0,2936.82,0,0,0,0,2936.82
2017-09-01,"ALVARO DAVI BOESSIO ",0,2658.26,0,0,0,0,2658.26
2017-10-01,"ALVARO DAVI BOESSIO ",0,2986.1,0,0,0,0,2986.1
2017-11-01,"ALVARO DAVI BOESSIO ",0,3005,0,0,0,0,3005
2017-12-01,"ALVARO DAVI BOESSIO ",0,3088.08,0,0,0,0,3088.08
2015-02-01,"ANY MACHADO ORTIZ",0,483.37,883.34,316.497999087689,1,1,483.37
2015-03-01,"ANY MACHADO ORTIZ",0,1330.75,0,0,0,0,1330.75
2015-04-01,"ANY MACHADO ORTIZ",0,1575.41,2944.46,1553.97426098844,2,4,1575.41
2015-05-01,"ANY MACHADO ORTIZ",0,2608.98,2745.27,3913.04941885839,2,3,2608.98
2015-06-01,"ANY MACHADO ORTIZ",3670.28,1473.4,1472.23,568.347925358901,1,2,5143.68
2015-07-01,"ANY MACHADO ORTIZ",0,1585.29,294.45,229.321971051211,1,0,1585.29
2015-08-01,"ANY MACHADO ORTIZ",2635.7,2700.21,3827.8,3617.06779999586,3,5,5335.91
2015-09-01,"ANY MACHADO ORTIZ",0,1681.63,1783.99,3293.24425560858,2,2,1681.63
2015-10-01,"ANY MACHADO ORTIZ",6241.83,1753.07,666.84,3761.9419997733,2,0,7994.9
2015-11-01,"ANY MACHADO ORTIZ",0,1640.01,0,0,0,0,1640.01
2015-12-01,"ANY MACHADO ORTIZ",0,801.28,0,0,0,0,801.28
2016-01-01,"ANY MACHADO ORTIZ",0,130,0,0,0,0,130
2016-02-01,"ANY MACHADO ORTIZ",714.43,1942.41,1472.23,1563.2660338143,2,2,2656.84
2016-03-01,"ANY MACHADO ORTIZ",0,3091.7,1766.69,1381.54005602573,5,1,3091.7
2016-04-01,"ANY MACHADO ORTIZ",5463.89,1614.66,2511.44,4207.73457378786,2,4,7078.55
2016-05-01,"ANY MACHADO ORTIZ",1023.33,1507.49,883.35,757.103904038677,1,2,2530.82
2016-06-01,"ANY MACHADO ORTIZ",5343.67,2814.6,3117.65,8724.91341102225,4,4,8158.27
2016-07-01,"ANY MACHADO ORTIZ",9215.11,1586.5,1333.66,3635.59726712382,2,2,10801.61
2016-08-01,"ANY MACHADO ORTIZ",0,1764.95,2061.12,1580.03117149002,2,3,1764.95
2016-09-01,"ANY MACHADO ORTIZ",0,455.56,0,0,0,0,455.56
2016-10-01,"ANY MACHADO ORTIZ",0,250,0,0,0,0,250
2016-11-01,"ANY MACHADO ORTIZ",0,500,14390,27643.7804179976,1,10,500
