cidade,cnpj,data,requisicao,valor
BRASILIA,08.627.890/0001-78,2015-02-02,81087,115.58
TAQUARI,88.176.490/0001-22  ,2015-02-14,81226,99.5
BENTO GONCALVES,89.340.913/0001-60  ,2015-02-21,81332,159.65
BRASILIA,37.069.853/0002-70,2015-03-05,81575,91.3
FARROUPILHA,89.848.790/0001-73,2015-03-13,81770,8.5
TAQUARI,90.363.870/0001-18  ,2015-03-17,81888,25.0
VENANCIO AIRES,91.369.694/0001-94  ,2015-03-24,82094,8.8
AGUDO,04.875.808/0001-73,2015-03-24,82094,52.0
PASSO FUNDO,01.925.530/0001-03  ,2015-03-27,82168,16.5
ERECHIM,09.399.113/0001-86,2015-03-28,82168,121.5
ANTONIO PRADO,03.823.129/0001-98  ,2015-04-07,82380,110.01
PAVERAMA,08.215.269/0001-05,2015-04-09,82448,19.0
SANTA MARIA,87.676.185/0002-18,2015-04-10,82448,140.0
PANTANO GRANDE,01.324.812/0001-55  ,2015-04-16,82689,128.8
SAO GABRIEL,88.231.931/0001-41  ,2015-04-17,82689,101.0
GRAMADO,08.646.295/0001-80,2015-05-02,82989,140.0
GRAMADO,05.257.702/0001-79,2015-05-16,83310,70.0
PAVERAMA,08.215.269/0001-05,2015-06-10,83968,24.25
BRASILIA,00.679.605/0001-50,2015-06-18,84179,22.0
TAQUARI,93.408.169/0001-66,2015-07-10,84652,19.9
ANTONIO PRADO,92.285.212/0001-80,2015-07-15,84731,30.0
SAO LOURENCO DO SUL,97.005.581/0003-58  ,2015-07-16,84781,39.5
CRISTAL,03.007.458/0001-60  ,2015-07-16,84781,9.25
GRAMADO,08.646.295/0001-80,2015-07-17,84784,45.0
ERECHIM,09.399.113/0001-86,2015-07-24,84963,135.0
ALEGRETE,01.698.079/0001-39  ,2015-07-30,85098,42.5
ALEGRETE,94.177.201/0001-02,2015-07-31,85098,90.0
SAO GABRIEL,88.231.931/0001-41  ,2015-08-01,85098,74.0
BOM RETIRO DO SUL,08.933.366/0001-25,2015-08-12,85246,12.0
TAQUARI,17.492.607/0001-39,2015-08-16,85528,60.0
ANTONIO PRADO,03.625.490/0001-00  ,2015-08-27,85591,41.0
TAQUARI,93.408.169/0001-66,2015-09-18,86081,17.3
GRAMADO,08.646.295/0001-80,2015-09-24,86228,22.5
BENTO GONCALVES,89.340.913/0001-60  ,2015-09-26,86236,220.42
SANTA CRUZ DO SUL,89.193.973/0001-06  ,2015-09-27,86245,15.25
BRASILIA,02.169.338/0001-05,2015-10-05,86353,150.0
SAO VENDELINO,06.699.072/0001-55,2015-10-14,86595,26.26
ANTONIO PRADO,03.823.129/0001-98  ,2015-10-16,86688,88.71
CAMAQUA,05.361.110/0001-00,2015-10-17,86693,20.0
ALEGRETE,94.177.201/0001-02,2015-10-23,86853,65.0
SANTA CRUZ DO SUL,92.381.466/0001-00,2015-10-27,86928,193.0
SANTANA DO LIVRAMENTO,03.258.062/0001-96  ,2015-10-29,87037,97.0
ALEGRETE,94.177.201/0001-02,2015-10-30,87037,70.0
GRAMADO,02.404.893/0001-66,2015-11-13,87332,20.0
IMBE,94.691.060/0001-41,2015-11-14,87336,167.0
SAO PAULO,05.757.130/0001-97,2015-12-03,87884,179.74
SAO PAULO,43.828.581/0001-67,2015-12-04,87884,240.45
SAO PAULO,17.314.329/0005-53,2015-12-04,87884,114.18
TAQUARI,90.363.870/0001-18  ,2015-12-05,87885,15.0
TAQUARI,93.408.169/0001-66,2015-12-06,87886,16.8
AGUDO,04.875.808/0001-73,2015-12-06,87886,38.0
AGUDO,04.875.808/0001-73,2015-12-06,87886,15.0
SANTA CRUZ DO SUL,17.425.040/0001-88,2015-12-11,87982,11.5
TAQUARI,88.280.227/0001-89,2015-12-13,87986,25.0
BAGE,90.493.511/0001-85  ,2015-12-18,88039,68.4
FLORES DA CUNHA,97.404.826/0001-58,2015-12-20,88076,164.5
TAQUARI,22.459.827/0001-09,2015-12-21,88104,110.0
SANTA CRUZ DO SUL,04.947.025/0001-58,2015-12-22,88068,19.5
SANTA VITORIA DO PALMAR,13.051.810/0001-19,2015-02-27,81499,9.0
CAXIAS DO SUL,89.275.812/0001-53,2015-05-18,83456,28.5
BRASILIA,16.670.649/0001-50,2015-05-26,83575,51.0
SANTA VITORIA DO PALMAR,13.051.810/0001-19,2015-06-12,83954,98.0
PIRATINI,94.605.151/0001-17,2015-06-27,84367,167.02
BENTO GONCALVES,91.807.826/0002-01,2015-08-26,85543,22.4
NOVA PETROPOLIS,16.097.047/0001-55,2015-09-27,86284,27.8
CANGUCU,02.807.863/0001-09  ,2015-11-30,87734,154.64
CANDELARIA,18.931.400/0001-86,2015-02-06,81100,10.0
PASSO DO SOBRADO,09.493.737/0002-49,2015-02-07,81100,24.0
CANDELARIA,18.931.400/0001-86,2015-02-13,81275,19.0
SANTA CRUZ DO SUL,95.425.369/0003-14  ,2015-02-14,81275,112.0
PASSO DO SOBRADO,07.528.792/0001-10,2015-02-22,81276,8.75
CANDELÁRIA,13.337.125/0001-53,2015-02-26,81571,87.07
CANDELARIA,18.931.400/0001-86,2015-02-27,81571,13.0
SANTA CRUZ DO SUL,02.482.054/0001-66  ,2015-02-28,81571,10.5
Sobradinho,94.461.753/0001-48  ,2015-03-08,81572,164.0
VENANCIO AIRES,07.896.543/0001-88,2015-03-13,81768,12.5
VENANCIO AIRES,98.591.993/0001-18,2015-03-14,81768,134.0
VENANCIO AIRES,18.266.051/0001-25,2015-03-20,81965,14.0
CANDELARIA,18.931.400/0001-86,2015-03-21,81965,8.0
ARROIO DO TIGRE,21.556.464/0001-59,2015-03-22,81965,13.5
VENANCIO AIRES,07.896.543/0001-88,2015-03-27,82118,13.0
CANDELARIA,06.283.822/0001-03  ,2015-03-28,82118,11.5
PASSA SETE,05.369.142/0001-44,2015-03-29,82118,113.0
VALE DO SOL,04.450.989/0001-96,2015-04-24,82728,15.0
CANDELÁRIA,95.425.369/0004-03  ,2015-04-25,82728,180.06
NOVO CABRAIS,08.824.904/0001-43,2015-04-26,82728,127.03
VENANCIO AIRES,07.896.543/0001-88,2015-04-29,82909,22.5
CANDELARIA,13.337.125/0001-53,2015-05-01,82964,173.02
CANDELARIA,95.082.343/0001-59,2015-05-02,82964,9.9
VENANCIO AIRES,07.896.543/0001-88,2015-05-15,83286,19.0
CANDELARIA,18.931.400/0001-86,2015-05-16,83286,12.0
PASSA SETE,20.450.131/0001-88,2015-05-17,83286,7.0
CANDELARIA,95.082.343/0001-59,2015-05-21,83489,25.0
CANDELÁRIA,06.283.822/0001-03  ,2015-05-22,83489,15.5
CANDELÁRIA,02.906.922/0004-30,2015-05-23,83489,110.0
CANDELÁRIA,06.283.822/0001-03  ,2015-06-04,83803,12.5
PASSA SETE,20.450.131/0001-88,2015-06-05,83803,29.0
CANDELARIA,06.172.564/0001-98,2015-06-06,83803,16.0
VENANCIO AIRES,95.425.369/0016-39,2015-06-18,84204,163.0
AGUDO,10.320.969/0001-01,2015-06-19,84204,18.0
VENANCIO AIRES,07.896.543/0001-88,2015-06-20,84204,31.0
PASSO DO SOBRADO,95.115.721/0001-53  ,2015-06-26,84354,180.0
CANDELARIA,06.283.822/0001-03  ,2015-06-27,84354,42.8
BRASILIA,00.469.171/0002-45  ,2015-07-08,84495,182.72
VENANCIO AIRES,07.896.543/0001-88,2015-07-10,84534,14.0
CANDELARIA,18.931.400/0001-86,2015-07-11,84534,14.5
VENANCIO AIRES,07.896.543/0001-88,2015-08-07,85138,16.0
CANDELARIA,06.283.822/0001-03  ,2015-08-08,85138,47.8
VALE VERDE,01.694.310/0001-16,2015-08-13,85231,160.0
CANDELARIA,10.354.202/0001-95,2015-08-14,85231,45.0
SANTA CRUZ DO SUL,02.482.054/0001-66  ,2015-08-15,85231,44.5
CANDELÁRIA,95.082.343/0001-59,2015-08-21,85504,29.16
VALE DO SOL,04.450.989/0001-96,2015-08-22,85504,39.0
VENANCIO AIRES,07.077.510/0001-06,2015-08-25,85507,164.17
VENANCIO AIRES,07.896.543/0001-88,2015-09-10,85912,18.5
SALTO DO JACUI,15.545.185/0001-97,2015-09-11,85912,65.0
CANDELARIA,06.172.564/0001-98,2015-09-12,85912,10.5
SOLEDADE,90.284.316/0001-45,2015-09-13,85912,170.99
VENANCIO AIRES,07.896.543/0001-88,2015-10-02,86333,13.5
CANDELARIA,06.283.822/0001-03  ,2015-10-03,86333,44.8
PASSA SETE,05.369.142/0001-44,2015-10-09,86520,173.0
PASSO DO SOBRADO,09.493.737/0002-49,2015-10-10,86520,21.95
CANDELARIA,13.337.125/0001-53,2015-10-16,86828,149.4
CANDELARIA,06.283.822/0001-03  ,2015-10-17,86828,47.8
VENANCIO AIRES,07.077.510/0001-06,2015-10-23,86831,166.0
AGUDO,02.636.780/0001-96,2015-11-13,87243,15.0
VALE DO SOL,04.450.989/0001-96,2015-11-14,87243,19.0
VENANCIO AIRES,18.266.051/0001-25,2015-11-19,87421,32.0
CANDELARIA,10.354.202/0001-95,2015-11-20,87421,30.0
CANDELÁRIA,95.082.343/0001-59,2015-11-21,87421,13.6
ENCANTADO,00.954.729/0001-05  ,2015-11-22,87421,21.5
VENANCIO AIRES,07.896.543/0001-88,2015-11-27,87713,22.0
CAPAO DA CANOA,09.237.050/0001-61,2015-02-26,81436,46.0
CAPAO DA CANOA,06.954.851/0008-26,2015-02-27,81436,30.0
LAJEADO,21.317.168/0001-03,2015-02-28,81436,18.0
CASCA,87.596.177/0001-80,2015-03-01,81436,30.05
ESTRELA,87.246.179/0002-20  ,2015-03-02,81436,30.06
DOIS LAJEADOS,07.473.735/0112-05,2015-03-13,81810,30.0
NOVA PRATA,15.372.384/0001-40,2015-03-14,81810,30.0
DAVID CANABARRO,01.809.604/0001-46,2015-03-15,81810,30.0
GARIBALDI,07.473.735/0021-25,2015-03-16,81810,30.0
GARIBALDI,02.133.970/0001-90,2015-05-07,83161,21.5
ROCA SALES,11.298.737/0001-59,2015-05-14,83302,30.07
ILOPOLIS,02.100.200/0001-41,2015-05-15,83302,25.0
ENCANTADO,90.508.441/0001-91  ,2015-05-16,83302,66.0
CASCA,05.473.278/0001-08,2015-05-29,83655,28.25
ESTRELA,87.246.179/0002-20  ,2015-05-30,83655,30.0
CARLOS BARBOSA,88.587.217/0001-90,2015-07-02,84389,20.0
DOIS LAJEADOS,07.473.735/0112-05,2015-07-03,84389,30.0
GARIBALDI,07.473.735/0021-25,2015-07-04,84389,30.0
MONTE BELO DO SUL,07.384.025/0001-85,2015-07-20,84856,30.0
NOVA BASSANO,92.379.676/0001-56,2015-07-21,84856,30.08
VERANOPOLIS,87.873.485/0001-06,2015-07-22,84856,25.0
NOVA ARACA,03.820.513/0001-37,2015-07-23,84856,25.0
VANINI,88.035.316/0001-60,2015-07-24,84856,30.0
CARLOS BARBOSA,87.857.132/0001-12,2015-08-13,85251,25.01
NOVA ARACA,10.909.560/0001-17,2015-08-14,85251,30.0
ENCANTADO,89.310.700/0001-96,2015-08-15,85251,30.0
GARIBALDI,07.473.735/0021-25,2015-10-23,86811,25.0
ENCANTADO,09.107.592/0001-10,2015-10-24,86811,20.04
CARLOS BARBOSA,04.091.956/0001-05,2015-10-25,86811,25.01
IBIRAIARAS,93.464.089/0001-28  ,2015-10-29,87014,30.0
LAJEADO,90.980.160/0001-37  ,2015-10-30,87014,15.0
MONTE BELO DO SUL,03.900.599/0001-08,2015-11-13,87255,23.5
SARANDI,87.712.725/0003-52,2015-01-31,81084,70.0
HORIZONTINA,05.425.070/0001-05,2015-02-01,81084,25.02
IJUI,05.403.611/0001-02  ,2015-02-02,81084,21.0
SARANDI,18.683.977/0001-16,2015-02-12,81241,25.0
IJUI,05.403.611/0001-02  ,2015-02-13,81241,25.0
CORONEL BICACO,02.955.253/0001-44  ,2015-02-14,81241,27.0
NOVO BARREIRO,03.836.997/0001-02  ,2015-02-15,81241,27.5
CARAZINHO,11.085.251/0001-32,2015-02-21,81314,28.0
SANTO AUGUSTO,14.525.482/0001-08,2015-02-22,81314,14.5
BARRA FUNDA,05.822.120/0001-98  ,2015-02-23,81314,22.0
SARANDI,18.683.977/0001-16,2015-02-26,81482,25.0
HUMAITA,95.068.045/0001-04  ,2015-02-27,81482,40.0
HORIZONTINA,89.096.812/0001-96,2015-02-28,81482,40.0
CORONEL BICACO,02.955.253/0001-44  ,2015-03-01,81482,22.0
TIO HUGO,01.809.606/0001-35  ,2015-03-05,81685,20.0
TRES DE MAIO,12.488.827/0001-75,2015-03-06,81685,25.0
SAO VALERIO DO SUL,13.267.485/0001-26,2015-03-07,81685,60.0
VICTOR GRAEFF,07.257.527/0001-45,2015-03-09,81685,16.0
SARANDI,92.986.157/0001-56  ,2015-03-12,81869,25.0
CAMPO NOVO,09.430.698/0001-50,2015-03-13,81869,25.0
PALMEIRA DAS MISSOES,12.187.355/0001-10,2015-03-14,81869,30.0
SARANDI,94.648.961/0001-50  ,2015-03-15,81869,18.0
POUSO NOVO,10.785.080/0001-91,2015-03-20,82056,22.0
IJUI,10.250.209/0001-67,2015-03-21,82056,25.0
TIO HUGO,01.809.606/0001-35  ,2015-03-22,82056,25.0
SAO LOURENCO DO SUL,00.383.116/0001-57  ,2015-03-26,82151,25.0
SAO LOURENCO DO SUL,09.456.341/0001-40,2015-03-27,82151,55.0
SARANDI,92.986.157/0001-56  ,2015-04-09,82469,26.0
CRISSIUMAL,11.489.213/0001-45,2015-04-10,82469,26.0
INDEPENDENCIA,02.523.730/0001-00,2015-04-11,82469,25.0
ENTRE-IJUIS,03.898.112/0002-80,2015-04-12,82469,26.0
POUSO NOVO,10.785.080/0001-91,2015-04-13,82469,27.0
TRES PASSOS,11.501.998/0001-24,2015-04-16,82691,23.0
BOA VISTA DO BURICA,02.715.254/0001-11,2015-04-17,82691,25.0
TRES PASSOS,95.275.731/0001-56,2015-04-18,82691,22.0
BARRA FUNDA,97.275.549/0001-20  ,2015-04-19,82691,32.5
SOLEDADE,93.786.762/0001-46  ,2015-04-30,83051,25.0
SANTO ANGELO,08.954.660/0002-02,2015-05-01,83051,25.0
TRES DE MAIO,12.488.827/0001-75,2015-05-02,83051,30.0
SARANDI,94.648.961/0001-50  ,2015-05-03,83051,27.0
MARQUES DE SOUZA,10.638.833/0001-36,2015-05-07,83187,34.0
SAO PAULO DAS MISSOES,05.305.317/0001-50,2015-05-08,83187,24.0
NOVA RAMADA,02.253.640/0001-39,2015-05-09,83187,23.0
BARRA FUNDA,05.822.120/0001-98  ,2015-05-10,83187,25.0
SARANDI,18.683.977/0001-16,2015-08-13,85287,25.0
PALMITINHO,17.738.330/0001-81,2015-08-14,85287,20.0
ESPERANCA DO SUL,03.404.400/0001-50,2015-08-15,85287,18.5
SOLEDADE,93.786.762/0001-46  ,2015-08-27,85654,25.5
PORTO MAUA,02.938.599/0001-34,2015-08-28,85654,20.0
SARANDI,18.683.977/0001-16,2015-09-10,85924,46.0
INDEPENDENCIA,11.266.835/0001-04,2015-09-11,85924,25.0
SANTO CRISTO,06.304.291/0001-98,2015-09-12,85924,25.0
SARANDI,94.648.961/0001-50  ,2015-09-13,85924,20.0
SAO JOSE DO HERVAL,93.187.714/0001-31,2015-09-24,86215,25.0
TUPARENDI,10.828.456/0001-06,2015-09-25,86215,25.0
SAO PEDRO DO BUTIA,10.359.319/0001-61,2015-09-26,86215,22.0
SARANDI,18.683.977/0001-16,2015-10-01,86397,25.0
CANDIDO GODOI,21.375.208/0001-65,2015-10-02,86397,22.0
REDENTORA,09.647.763/0001-01,2015-10-03,86397,24.0
NOVO BARREIRO,03.836.997/0001-02  ,2015-10-04,86397,30.0
CERRO LARGO,02.451.092/0001-51  ,2015-10-09,86547,30.0
TENENTE PORTELA,94.680.410/0001-74,2015-10-10,86547,25.0
IJUI,17.223.248/0001-14,2015-10-11,86547,25.0
TIO HUGO,01.809.606/0001-35  ,2015-10-22,86851,25.0
CAMPINA DAS MISSOES,93.322.790/0001-02,2015-10-23,86851,22.0
BOA VISTA DO BURICA,14.604.866/0001-16,2015-10-24,86851,23.0
DOUTOR MAURICIO CARDOSO,13.420.509/0001-35,2015-10-25,86851,23.0
CARAZINHO,97.543.069/0001-01,2015-10-26,86851,18.0
SARANDI,18.683.977/0001-16,2015-10-29,87025,25.0
ALECRIM,04.953.004/0001-45,2015-10-30,87025,20.0
HUMAITA,90.400.748/0001-74,2015-10-31,87025,24.0
NOVO BARREIRO,03.836.997/0001-02  ,2015-11-02,87025,20.0
TIO HUGO,01.809.606/0001-35  ,2015-11-05,87152,20.0
SEDE NOVA,14.737.422/0001-59,2015-11-06,87152,28.0
TRES PASSOS,08.713.164/0001-78,2015-11-07,87152,20.0
SARANDI,94.648.961/0001-50  ,2015-11-08,87152,26.0
CARAZINHO,11.085.251/0001-32,2015-11-12,87274,22.0
CAIBATE,00.183.116/0001-03,2015-11-13,87274,22.0
TUCUNDUVA,22.562.021/0001-33,2015-11-14,87274,28.0
CAMPO NOVO,09.430.698/0001-50,2015-11-15,87274,20.0
SARANDI,94.648.961/0001-50  ,2015-11-16,87274,20.0
SOLEDADE,93.786.762/0001-46  ,2015-01-07,80858,20.5
GETULIO VARGAS,09.524.223/0001-22,2015-01-12,80973,25.0
SOLEDADE,91.880.633/0001-97  ,2015-01-20,80975,10.1
BENTO GONCALVES,92.014.695/0001-89  ,2015-03-19,81919,11.0
PASSO FUNDO,21.378.909/0001-58,2015-03-30,82165,25.0
SANTA CRUZ DO SUL,91.637.330/0001-48,2015-05-01,82979,242.0
CAMBARA DO SUL,10.293.382/0001-42,2015-05-15,83282,278.0
SAO FRANCISCO DE PAULA,94.247.467/0001-84  ,2015-05-16,83282,18.5
TRES PASSOS,07.809.482/0001-74,2015-05-23,83553,20.0
CRISSIUMAL,20.620.689/0001-64,2015-05-23,83553,29.0
VILA MARIA,08.905.992/0001-08,2015-06-06,83806,10.0
SAO FRANCISCO DE PAULA,07.627.885/0001-00,2015-07-11,84557,100.0
SARANDI,00720498000167,2015-07-17,84776,100.0
BAGE,87.398.004/0001-58,2015-10-10,86625,148.0
PASSO FUNDO,15.930.180/0001-88,2015-10-23,86801,169.0
FONTOURA XAVIER,20.254.266/0001-78,2015-11-16,87305,6.0
CAXIAS DO SUL,87.828.497/0001-19,2015-11-23,87492,21.0
ITAQUI,90.925.033/0001-35  ,2015-12-07,87818,136.0
CARLOS BARBOSA,93.531.408/0001-70  ,2015-02-13,81189,39.0
BENTO GONCALVES,17.984.328/0001-92,2015-02-14,81189,43.0
VALE VERDE,95.242.764/0001-08  ,2015-02-15,81189,100.0
FLORES DA CUNHA,15.488.795/0001-04,2015-02-19,81317,22.4
OSORIO,94.779.295/0001-90  ,2015-02-26,81512,23.7
ANTONIO PRADO,08.719.146/0001-01,2015-03-06,81587,18.0
PICADA CAFE,16.965.033/0001-06,2015-03-07,81587,28.0
VERANOPOLIS,98.670.656/0001-16  ,2015-04-10,82538,17.5
TEUTONIA,09.392.155/0001-95,2015-05-22,83581,87.0
SAO FRANCISCO DE PAULA,02.386.955/0001-54  ,2015-05-29,83690,146.0
ANTONIO PRADO,87.275.400/0001-98  ,2015-06-19,84102,55.0
VACARIA,88.681.671/0001-06,2015-07-21,84954,80.0
ANTONIO PRADO,03.823.129/0001-98  ,2015-07-21,84954,44.01
IPE,94.392.800/0001-49,2015-07-22,84954,28.0
PROTASIO ALVES,10.748.832/0001-44,2015-09-19,86073,60.0
TEUTONIA,93.182.749/0001-88  ,2015-10-18,86658,72.0
BRASILIA,01.368.719/0001-42,2015-01-12,80957,72.12
IJUI,04.815.442/0002-28,2015-01-22,81006,6.0
PICADA CAFE,87.550.455/0001-69,2015-01-23,81058,8.5
TRES COROAS,00.577.065/0002-85,2015-01-26,81059,5.99
ROLANTE,13.405.218/0001-78,2015-01-27,81059,9.0
ALEGRETE,21.660.207/0001-62,2015-04-16,82636,18.0
PANTANO GRANDE,01.324.812/0001-55  ,2015-04-16,82636,37.0
ROSARIO DO SUL,94.826.781/0001-11  ,2015-04-17,82636,75.0
BAGE,90.493.511/0001-85  ,2015-04-17,82636,35.0
BAGE,01.965.846/0001-29,2015-04-17,82636,9.0
ROSARIO DO SUL,86.861.986/0002-90,2015-04-18,82636,85.0
BRASILIA,02.169.338/0001-05,2015-05-12,83223,65.9
SAO VICENTE DO SUL,09.326.429/0001-48,2015-05-22,83554,18.0
SANTIAGO,07.800.149/0001-02,2015-05-23,83554,10.0
SANTIAGO,01.084.728/0001-01  ,2015-05-23,83554,68.0
SAO BORJA,97.058.911/0001-01  ,2015-06-04,83881,27.26
SAO BORJA,01.499.970/0001-46,2015-06-06,83881,26.0
SAO LUIZ GONZAGA,87.265.914/0001-62,2015-06-06,83881,110.0
ROSARIO DO SUL,86.861.986/0002-90,2015-07-03,84446,85.0
BRASILIA,38.074.563/0003-69  ,2015-08-20,85399,41.0
SANTIAGO,03.886.349/0001-60,2015-09-26,86327,18.0
SAO LUIZ GONZAGA,87.265.914/0001-62,2015-10-01,86478,64.0
ROSARIO DO SUL,86.861.986/0002-90,2015-10-08,86616,95.0
BRASILIA,19.282.039/0001-77,2015-10-20,86839,35.14
BRASILIA,10.580.005/0003-56,2015-10-21,86839,10.91
MARAU,89.683.007/0001-69,2015-11-05,87194,7.5
CRUZ ALTA,07.732.884/0001-18,2015-11-06,87195,33.0
BRASILIA,21.975.961/0001-91,2015-12-01,87681,22.4
BALNEARIO PINHAL,09.263.116/0001-98,2015-02-26,81507,56.0
CAPAO DA CANOA,04.848.532/0001-34,2015-02-27,81507,12.0
CIRIACO,74.746.140/0001-40,2015-04-09,82528,40.0
VILA MARIA,94.961.828/0002-30,2015-04-10,82528,11.98
LAGOA VERMELHA,01.137.416/0001-19  ,2015-04-10,82528,79.0
CIRIACO,10.992.494/0001-91,2015-04-11,82528,50.0
PAVERAMA,08.215.269/0001-05,2015-04-11,82528,27.8
SANTA ROSA,90.862.491/0001-72  ,2015-04-30,83019,86.75
SANTO ANGELO,15.553.353/0001-96,2015-04-30,83019,39.0
FONTOURA XAVIER,20.254.266/0001-78,2015-04-30,83019,20.0
SANTA ROSA,08.029.317/0001-62,2015-05-01,83019,139.0
ERECHIM,04.045.973/0001-06  ,2015-05-02,83019,113.0
PASSO FUNDO,03.976.319/0002-26,2015-05-14,83421,153.0
GETULIO VARGAS,90.368.952/0001-55,2015-05-14,83421,66.0
FAXINALZINHO,17.799.806/0001-94,2015-05-15,83421,16.0
ERECHIM,20.493.657/0001-45,2015-05-15,83421,20.0
BRASILIA,11.903.789/0001-07,2015-05-26,83684,106.15
BRASILIA,07.839.480/0001-28,2015-05-27,83684,176.99
BRASILIA,20.828.809/0001-13,2015-05-27,83684,26.9
BRASILIA,74.552.068/0013-53,2015-05-28,83684,26.0
PELOTAS,92.190.685/0001-02,2015-06-25,84254,18.19
PELOTAS,92.192.368/0001-17  ,2015-06-26,84254,147.0
PELOTAS,00.681.802/0001-04  ,2015-06-26,84254,80.0
JAGUARAO,10.362.996/0001-39,2015-06-27,84254,16.0
JAGUARAO,11.449.023/0001-02,2015-06-27,84254,90.0
XANGRI-LA,07.108.777/0001-13,2015-07-10,84565,28.0
PALMEIRA DAS MISSOES,21.046.280/0001-49,2015-08-14,85350,34.0
SANTA ROSA,08.029.317/0001-62,2015-08-16,85350,278.0
SANTA ROSA,08.029.317/0001-62,2015-08-16,85350,25.0
SAO GABRIEL,01.324.812/0001-55  ,2015-08-20,85471,12.4
QUARAI,05.378.131/0001-20,2015-08-21,85471,68.5
SANTANA DO LIVRAMENTO,03.424.234/0001-54  ,2015-08-21,85471,100.0
MARQUES DE SOUZA,08.293.133/0001-05,2015-08-27,85641,10.5
SEBERI,02.968.306/0001-61,2015-08-28,85641,66.0
CONSTANTINA,94.593.605/0001-87  ,2015-08-28,85641,210.0
ERECHIM,11.234.305/0001-84,2015-08-29,85641,10.0
ESTRELA,10.418.731/0001-05,2015-08-29,85641,32.0
PASSO FUNDO,03.698.513/0001-06,2015-09-04,85829,23.75
BRASILIA,11.903.789/0001-07,2015-10-14,86594,88.0
BRASILIA,42.591.651/1763-49,2015-10-14,86594,31.0
TIO HUGO,09.250.186/0001-01,2015-10-23,86872,10.5
SANANDUVA,92.673.680/0001-22,2015-10-23,86872,31.0
PINHEIRO MACHADO,18.275.874/0001-17,2015-01-30,81083,35.0
JAGUARAO,90.959.982/0001-36  ,2015-05-23,83696,130.81
TAVARES,03.110.027/0001-25  ,2015-06-20,84128,160.0
SAO GABRIEL,88.231.931/0001-41  ,2015-06-27,84284,35.0
PANTANO GRANDE,01.324.812/0001-55  ,2015-09-04,85734,33.0
CARAZINHO,00.440.439/0001-35  ,2015-09-12,85892,46.0
SANTANA DO LIVRAMENTO,90.244.278/0003-69,2015-09-25,86290,190.0
TRAMANDAI,09.522.660/0001-07,2015-01-20,81048,25.0
TRAMANDAI,03.121.899/0001-99  ,2015-01-21,81048,21.49
IMBE,13.742.529/0001-22,2015-01-22,81048,25.0
OSORIO,05.421.881/0001-38,2015-01-23,81048,22.99
TERRA DE AREIA,14.590.339/0001-08,2015-01-24,81048,22.0
TRES CACHOEIRAS,07.473.735/0040-98,2015-01-25,81048,24.18
IMBE,92.699.180/0001-60,2015-01-26,81048,33.82
FONTOURA XAVIER,07.328.406/0001-47  ,2015-02-02,81079,17.0
VACARIA,07.473.735/0043-30,2015-02-21,81343,5.48
LAGOA VERMELHA,94.849.627/0001-65,2015-03-01,81468,14.0
CARAZINHO,11.085.251/0001-32,2015-03-02,81468,15.0
POUSO NOVO,09.404.504/0001-41,2015-03-09,81586,36.5
TIO HUGO,09.250.186/0001-01,2015-03-13,81935,8.0
COXILHA,93.178.358/0001-90  ,2015-03-15,81985,15.0
MARQUES DE SOUZA,10.638.833/0001-36,2015-03-16,81985,21.0
POUSO NOVO,09.404.504/0001-41,2015-04-06,82277,22.5
ERECHIM,13.864.448/0001-03,2015-04-24,82775,4.5
MATO CASTELHANO,10.345.964/0001-25,2015-04-25,82775,14.0
FONTOURA XAVIER,20.254.266/0001-78,2015-04-27,82763,29.0
OSORIO,19.422.743/0001-88,2015-02-19,81304,100.0
CARAZINHO,04.717.163/0001-40  ,2015-03-09,81645,257.5
ILOPOLIS,10.836.083/0002-98,2015-03-13,81846,20.0
MUCUM,10.266.599/0001-63,2015-03-14,81846,221.0
ARROIO DO MEIO,13.892.243/0001-23,2015-03-15,81846,24.0
BAGE,15.439.804/0001-69,2015-04-12,82462,119.7
VALE DO SOL,07.690.066/0001-08,2015-04-29,83006,4.8
IMIGRANTE,17.671.775/0001-91,2015-04-30,83005,10.0
VENANCIO AIRES,88.261.342/0001-06  ,2015-05-02,82999,158.0
CAMAQUA,94.097.417/0001-68  ,2015-05-04,83000,162.0
RIO GRANDE,88.564.851/0003-70,2015-05-11,83231,236.25
CAXIAS DO SUL,68.797.141/0004-63,2015-05-19,83455,183.0
FREDERICO WESTPHALEN,89.982.664/0001-07  ,2015-05-23,83501,160.0
LAJEADO,88.076.864/0001-38,2015-06-29,84283,198.0
CANDELARIA,01.495.724/0001-16,2015-07-04,84465,80.0
TRAMANDAI,15.731.231/0001-42,2015-07-11,84658,25.0
CANDELARIA,01.495.724/0001-16,2015-08-03,85015,60.0
JAGUARI,08.908.856/0001-71,2015-08-16,85258,129.0
BENTO GONCALVES,89.340.913/0002-41,2015-09-11,85948,175.1
IJUI,06096110000185,2015-09-19,86029,120.0
CAMAQUA,07.473.735/0071-94,2015-10-03,86530,22.52
VENANCIO AIRES,93959591000100,2015-11-14,87296,28.0
FREDERICO WESTPHALEN,89982664000107,2015-11-28,87592,180.0
SANTIAGO,01.084.728/0001-01  ,2015-03-13,81822,86.0
CERRO LARGO,02.020.952/0001-00,2015-03-20,82032,221.44
SANTA ROSA,07.828.943/0001-56,2015-04-17,82684,37.0
